OrderID,OrderDate,CustomerID,ProductID,Region,Quantity,UnitPrice,Discount
5016,2023-01-01,1068,2037,West,3,6.36,0.05
5049,2023-01-01,1071,2009,South,3,106.44,0.05
5540,2023-01-01,1002,2016,North,6,265.58,0.0
6197,2023-01-01,1075,2006,West,1,38.05,0.05
6480,2023-01-01,1039,2024,East,8,1093.74,0.0
7017,2023-01-01,1053,2042,South,2,11.29,0.0
5014,2023-01-02,1059,2023,South,6,968.6,0.0
5100,2023-01-02,1035,2026,West,7,238.12,0.0
5423,2023-01-02,1031,2020,South,4,288.47,0.05
5613,2023-01-02,1026,2004,North,3,1146.54,0.0
5802,2023-01-02,1018,2036,West,3,19.76,0.05
6079,2023-01-02,1024,2009,South,7,90.94,0.0
6580,2023-01-02,1012,2017,East,2,163.8,0.0
7069,2023-01-02,1005,2018,West,6,251.64,0.1
7231,2023-01-02,1061,2040,East,6,11.62,0.05
7410,2023-01-02,1028,2026,North,6,279.64,0.0
7471,2023-01-02,1012,2007,East,6,46.2,0.0
5172,2023-01-03,1079,2009,South,3,108.97,0.1
5898,2023-01-03,1061,2008,North,3,17.14,0.05
7089,2023-01-03,1036,2037,West,9,14.07,0.05
7136,2023-01-03,1063,2042,East,9,2.88,0.1
7365,2023-01-03,1053,2002,East,7,1453.64,0.15
6800,2023-01-04,1094,2034,West,9,29.11,0.0
5318,2023-01-05,1057,2002,East,3,1372.17,0.05
5342,2023-01-05,1089,2031,South,1,37.63,0.0
5522,2023-01-05,1089,2022,South,2,657.2,0.1
5546,2023-01-05,1057,2006,North,2,40.1,0.0
6117,2023-01-05,1040,2040,South,8,24.7,0.0
6730,2023-01-05,1011,2040,North,7,10.2,0.1
7241,2023-01-05,1030,2042,North,3,4.59,0.05
7414,2023-01-05,1050,2045,East,8,10.75,0.1
7488,2023-01-05,1033,2011,South,6,1161.29,0.05
5332,2023-01-06,1090,2023,East,3,866.08,0.0
6137,2023-01-06,1050,2022,East,7,1165.59,0.0
7144,2023-01-06,1090,2041,East,6,2.86,0.05
7262,2023-01-06,1022,2040,South,6,15.76,0.0
5081,2023-01-07,1014,2010,West,3,54.44,0.05
5712,2023-01-07,1072,2014,North,2,1028.74,0.0
5748,2023-01-07,1019,2003,East,6,1125.75,0.0
6090,2023-01-07,1094,2004,East,7,1094.3,0.0
6340,2023-01-07,1065,2020,West,2,210.36,0.15
6389,2023-01-07,1072,2009,South,6,94.37,0.05
6578,2023-01-07,1002,2001,West,4,984.81,0.1
6632,2023-01-07,1023,2004,South,8,835.88,0.0
7053,2023-01-07,1040,2037,North,4,8.87,0.0
7354,2023-01-07,1096,2040,South,1,14.85,0.1
7419,2023-01-07,1086,2013,South,1,435.07,0.0
7451,2023-01-07,1005,2025,West,1,1112.42,0.0
5602,2023-01-08,1053,2019,North,3,286.41,0.0
6786,2023-01-08,1099,2016,North,3,450.15,0.0
7461,2023-01-08,1005,2010,West,6,64.46,0.0
5689,2023-01-09,1058,2020,West,8,350.23,0.05
6175,2023-01-09,1083,2009,North,9,20.0,0.15
6609,2023-01-09,1042,2003,East,8,1037.34,0.0
6751,2023-01-09,1054,2021,West,5,1002.39,0.05
6868,2023-01-09,1097,2022,West,9,1098.52,0.0
5357,2023-01-10,1070,2002,West,9,1571.18,0.0
5545,2023-01-10,1042,2004,East,5,1541.28,0.1
5691,2023-01-10,1084,2040,North,2,8.13,0.0
7204,2023-01-10,1018,2013,North,1,1024.37,0.0
7235,2023-01-10,1014,2003,North,3,1349.02,0.0
7497,2023-01-10,1060,2016,North,9,105.43,0.0
5724,2023-01-11,1083,2015,South,8,1138.55,0.0
5901,2023-01-11,1029,2026,South,6,162.38,0.15
5982,2023-01-11,1062,2015,West,7,848.45,0.1
6447,2023-01-11,1056,2020,East,9,222.72,0.1
6562,2023-01-11,1011,2010,West,1,86.63,0.05
6809,2023-01-11,1028,2019,South,8,258.45,0.0
5113,2023-01-12,1038,2041,West,6,5.08,0.05
5417,2023-01-12,1094,2009,North,4,17.58,0.1
5866,2023-01-12,1021,2031,West,5,22.91,0.05
6240,2023-01-12,1043,2008,East,8,28.62,0.0
7242,2023-01-12,1030,2004,West,2,1488.34,0.0
7412,2023-01-12,1001,2021,North,2,716.16,0.0
5462,2023-01-13,1037,2003,East,2,1257.65,0.0
6236,2023-01-13,1075,2002,North,9,1320.88,0.1
6378,2023-01-13,1038,2036,South,6,22.56,0.0
6645,2023-01-13,1025,2034,North,4,15.6,0.05
6816,2023-01-13,1089,2023,West,1,229.96,0.1
5189,2023-01-14,1015,2040,South,6,11.07,0.05
5535,2023-01-14,1007,2034,South,2,8.61,0.15
5840,2023-01-14,1025,2032,East,2,5.49,0.1
6272,2023-01-14,1076,2030,West,6,115.58,0.0
6610,2023-01-14,1071,2010,East,3,79.41,0.0
6970,2023-01-14,1028,2023,West,7,739.64,0.0
6996,2023-01-14,1018,2033,West,7,10.78,0.1
7270,2023-01-14,1066,2026,South,2,315.73,0.0
5626,2023-01-15,1079,2011,East,6,402.45,0.0
5774,2023-01-15,1008,2024,South,6,816.94,0.1
